[✅ 2025-04-12T10:27:11.036Z] user_id: 9999, lat: 32.0469, lon: 34.7594
[✅ 2025-04-26T15:06:56.617Z] user_id: 1, lat: 32.0833, lon: 34.8
[✅ 2025-04-26T15:12:41.660Z] user_id: 1, lat: 32.0833, lon: 34.8
[✅ 2025-04-26T15:12:57.987Z] user_id: 1, lat: 32.0833, lon: 34.8
[✅ 2025-04-26T15:14:39.170Z] user_id: 1, lat: 32.0833, lon: 34.8
[✅ 2025-04-26T15:16:43.960Z] user_id: 1, lat: 32.0833, lon: 34.8
[✅ 2025-05-20T15:25:44.217Z] user_id: 1, lat: 32.0853, lon: 34.7818
[✅ 2025-06-08T13:54:42.462Z] user_id: 1, lat: 32.0183089, lon: 34.7695264
[✅ 2025-06-08T14:22:08.704Z] user_id: 357, lat: 32.0871113, lon: 34.8073417
[✅ 2025-06-08T14:22:28.564Z] user_id: 357, lat: 32.0871113, lon: 34.8073417
[✅ 2025-06-08T14:33:12.737Z] user_id: 357, lat: 32.0871144, lon: 34.8073307
